wave,stratum,include_edu,n,term,coef,se,t,p
2020,male,True,1219,mother_ideation,0.08581,0.03152,2.722,0.00658
2020,male,True,1219,father_ideation,0.10678,0.02884,3.703,0.00022
2020,male,True,1219,age_c,0.03954,0.01551,2.55,0.01089
2020,male,True,1219,age_c2,-0.00255,0.0074,-0.345,0.73039
2020,male,True,1219,urban,-0.02481,0.01292,-1.92,0.05508
2020,male,True,1219,parent_avg_age,0.0002,0.00123,0.158,0.87411
2020,male,True,1219,parent_avg_edu,-0.00127,0.0017,-0.743,0.45733
2020,male,True,1219,parent_log_income,0.00229,0.0057,0.402,0.68774
2020,male,True,1219,child_edu_yrs,-0.00964,0.00185,-5.199,0.0
2020,female,True,977,const,0.70739,0.12378,5.715,0.0
2020,female,True,977,mother_ideation,0.06253,0.03193,1.958,0.05048
2020,female,True,977,father_ideation,0.02805,0.03256,0.862,0.3891
2020,female,True,977,age_c,0.05305,0.03416,1.553,0.12077
2020,female,True,977,age_c2,-0.01687,0.01651,-1.022,0.307
2020,female,True,977,urban,-0.03014,0.0128,-2.355,0.01874
2020,female,True,977,parent_avg_age,0.00012,0.00155,0.077,0.93903
2020,female,True,977,parent_avg_edu,-0.00077,0.00189,-0.409,0.68294
2020,female,True,977,parent_log_income,-0.00135,0.00714,-0.189,0.8502
2020,female,True,977,child_edu_yrs,-0.02511,0.00237,-10.589,0.0
