group_var,group,n,mean_delta,se,ci_lo,ci_hi,share_progressive,share_traditional,share_stable,sex_stratum
cohort,1930-1949,730,-0.007962328767123288,0.00746769520983495,-0.022377283105022832,0.006137271689497716,0.410958904109589,0.3780821917808219,0.21095890410958903,male
cohort,1950-1959,1399,-0.006954372170598046,0.00483984929031261,-0.01667895222778175,0.0024425929235167986,0.4152966404574696,0.3788420300214439,0.2058613295210865,male
cohort,1960-1969,1813,-0.007021051663908808,0.00443322318616649,-0.014813729545872402,0.0013458930869645145,0.4059569773855488,0.3894098179812466,0.20463320463320464,male
cohort,1970-1979,1549,-0.023052506993759415,0.00501570752372669,-0.03214473047127179,-0.013556797396169572,0.4654615881213686,0.3673337637185281,0.1672046481601033,male
cohort,1980-1989,1328,-0.021460843373493976,0.005770505863151783,-0.03201948418674699,-0.010613940135542175,0.473644578313253,0.3674698795180723,0.1588855421686747,male
cohort,1990-2005,938,-0.053793532338308456,0.007136974094917796,-0.06665500621890548,-0.04021910536602701,0.5319829424307037,0.3230277185501066,0.14498933901918976,male
urban_2014,0.0,5628,-0.015006811182184318,0.0026265674745600555,-0.019956023454157784,-0.010219919746505568,0.4351457000710732,0.3733120113717129,0.19154228855721392,male
urban_2014,1.0,2124,-0.027473713119899563,0.004379894611714385,-0.035948779817953545,-0.018556281387319525,0.4769303201506591,0.3620527306967985,0.16101694915254236,male
