term,coef,se_classical,t_classical,p_classical,se_hc1,t_hc1,p_hc1,sex_stratum
const,0.24300698784123834,0.008773659763627858,27.697334338020458,6.31962947667977e-163,0.009520917855453307,25.523483295475877,2.1819488376147055e-139,all
female,-0.011575510997911511,0.0032051179258013826,-3.6115710141982564,0.0003057942509083248,0.0032060890677019457,-3.6104770496001057,0.00030708534562464616,all
urban_2014,-0.05475272617417722,0.003983711212983926,-13.744150428305193,1.3105199029876574e-42,0.004140136647134864,-13.224859670288618,1.3244856434014708e-39,all
age_2014,0.0031387098366876844,0.0001708415907766189,18.372047593443757,3.342603913876095e-74,0.00017569860130377268,17.864170877837324,2.5626711826613294e-70,all
had_new_child,-0.019210832048843492,0.005978751103318207,-3.2131847800423534,0.001316756625088126,0.005520423352050986,-3.4799563047470183,0.0005035700272441086,all
lost_job,0.025124500805773383,0.01808813365478914,1.3890045974489604,0.16486136749035757,0.017720736187089157,1.4178023159149695,0.15627872399796566,all
entered_work,-0.017620097859323305,0.015459456281551853,-1.1397618091103112,0.25441203961406594,0.020629651844116123,-0.8541151344902647,0.39306105315080164,all
entered_marriage,-0.017792490699432326,0.008085642156733602,-2.2005043451762214,0.027793237599928338,0.008968106034867324,-1.9839741669264557,0.04728520791869098,all
divorced,0.0032342402541897506,0.011532108357227216,0.28045524322209825,0.7791338886302398,0.012783151308508323,0.2530080553796108,0.8002670350862819,all
widowed,-0.002749031588574924,0.013619881214692833,-0.20183961557677377,0.840046094195558,0.0130325029228284,-0.2109365794777106,0.8329409307879931,all
delta_household_n,-0.0008621498863005429,0.000917216911110484,-0.9399629202831957,0.3472586125329582,0.0009092631330652537,-0.9481852446763528,0.343057391881463,all
delta_edu_yrs,-0.001027487244845504,0.001149858212569721,-0.8935773416352434,0.3715689416068061,0.0012361452139729853,-0.8312027043675806,0.40587838575315294,all
ideation_2014,-0.6443984648700543,0.009608434419039759,-67.06591696074184,0.0,0.010559730140140574,-61.0241413670714,0.0,all
