event,label,n_no,n_yes,mean_no,mean_yes,ci_no_lo,ci_no_hi,ci_yes_lo,ci_yes_hi,diff,diff_se,welch_t,welch_p,cohen_d,hedges_g,sex_stratum
had_new_birth,Had a new birth (child born 2015–2020),7008,752,-0.01723030821917808,-0.02908909574468085,-0.021811902468607303,-0.012838229523401828,-0.04488031914893617,-0.012965425531914893,-0.011858787525502769,0.008052184903094626,-1.4727415811011972,0.14117150412255405,0.059758488448851524,0.05975271114662644,male
entered_marriage,Entered marriage,7386,374,-0.017567018683996752,-0.03442513368983957,-0.022337939457532267,-0.01326206956855312,-0.05665524732620321,-0.014204545454545454,-0.01685811500584282,0.01100860211713256,-1.5313583710693595,0.12645603121318047,0.08495175426146649,0.0849435413368819,male
divorced,Got divorced,7601,159,-0.01835833004429242,-0.01939203354297694,-0.02288514669122484,-0.014054414441082312,-0.052283149895178196,0.013253406708595369,-0.0010337034986845212,0.01573914554774697,-0.06567723105098891,0.947714392166672,0.005208198750850847,0.005207695235132611,male
widowed,Lost spouse to death,7641,119,-0.018324935654146488,-0.02188375350140056,-0.022703861841818263,-0.013882413405749685,-0.054280462184873944,0.01263130252100838,-0.0035588178472540713,0.018225448620663852,-0.1952664058551138,0.8455098918931445,0.017930741887748673,0.01792900838816235,male
lost_job,Lost / left job (1→0),5821,38,-0.017458340491324515,0.004934210526315789,-0.02212204017064651,-0.012045735984653269,-0.05263157894736842,0.06747532894736838,0.022392551017640303,0.030965954911199432,0.7231345224733117,0.47408201688377916,-0.11425461723678283,-0.11423998609102322,male
entered_work,Entered work (0→1),5797,62,-0.01719639468690702,-0.028225806451612902,-0.022378403340808463,-0.012117797998964982,-0.09173387096774194,0.03931451612903226,-0.011029411764705881,0.03391610480828283,-0.3251968888246958,0.7461321946193799,0.05627447721324442,0.056267270851711154,male
