term,coef,se_classical,t_classical,p_classical,se_hc1,t_hc1,p_hc1,sex_stratum
const,0.2936533919346052,0.011234682073751001,26.13811321111654,1.8411239368353573e-142,0.012181449819801887,24.106604409045815,1.9147534093159576e-122,male
urban_2014,-0.03470372963027706,0.005119330075274946,-6.778959184110279,1.3304426574863966e-11,0.0052606001125729525,-6.596914589142498,4.570407638378138e-11,male
age_2014,0.002110071316383591,0.00019500965894033462,10.820342581231788,4.991203108685661e-27,0.0002006257166585835,10.517451857751547,1.2203426369609887e-25,male
had_new_birth,0.007045371942741056,0.007660113777342077,0.9197476888111804,0.35774290146296206,0.007868980247705657,0.8953348109871186,0.37064531726245387,male
lost_job,0.02490961274766426,0.026461461071976916,0.9413543976240947,0.3465625065052593,0.024955921857704053,0.998144363878672,0.3182510288406456,male
entered_work,-0.006258478567076148,0.02077966066265306,-0.3011829051821047,0.7632858286523772,0.027925932022814275,-0.2241099262851153,0.8226796679889459,male
entered_marriage,-0.008691990155950693,0.01077560601627591,-0.8066358535029919,0.4199094074718366,0.011161549913345014,-0.7787440116679852,0.43616231593188015,male
divorced,0.015932253163842038,0.01381327567148339,1.153401520591755,0.2487931787514943,0.014854205725545739,1.0725752327801772,0.28350639738674815,male
widowed,-0.05048884629817162,0.022871931578725226,-2.2074587852096763,0.02732105755771364,0.023182021189066957,-2.1779311599448823,0.029451343623838284,male
delta_household_n,-0.0011630399539439829,0.0011894775038487917,-0.9777738126032104,0.3282270139224325,0.0011437089018468353,-1.0169020736534005,0.309242462345964,male
delta_edu_yrs,-0.001525342263858392,0.0015886089212983994,-0.9601748066551846,0.3370072963483942,0.0017397929380394762,-0.8767378177643088,0.3806653966688238,male
ideation_2014,-0.6696813023687062,0.01251797748822509,-53.49756404328376,0.0,0.01361447949113606,-49.18890235977881,0.0,male
