group_var,group,n,mean_delta,se,ci_lo,ci_hi,share_progressive,share_traditional,share_stable,sex_stratum
cohort,1930-1949,661,-0.017271810388300557,0.006598013814420069,-0.03051090519415028,-0.005231183812405447,0.4296520423600605,0.3464447806354009,0.22390317700453857,female
cohort,1950-1959,1381,-0.018193338160753077,0.004989008345149907,-0.027908897538015932,-0.008885092324402606,0.43084721216509775,0.3664011585807386,0.20275162925416365,female
cohort,1960-1969,1908,-0.016596785464709995,0.004147798634486632,-0.02474395090845562,-0.008646979821802936,0.4187631027253669,0.3584905660377358,0.22274633123689727,female
cohort,1970-1979,1679,-0.03773327377407186,0.004641861660797861,-0.04695410214413342,-0.028475841274568196,0.48243001786777845,0.33293627159023226,0.18463371054198927,female
cohort,1980-1989,1473,-0.07750622312740438,0.005156978463654249,-0.08761951233310704,-0.06783067436071508,0.5913102511880516,0.2695179904955872,0.13917175831636117,female
cohort,1990-2005,996,-0.09368724899598393,0.0068714607797634815,-0.10843687248995984,-0.08025853413654618,0.6054216867469879,0.27309236947791166,0.1214859437751004,female
urban_2014,0.0,5995,-0.03707951070336392,0.0024531835568399997,-0.0417333889352238,-0.03242285237698082,0.47472894078398664,0.33194328607172646,0.1933277731442869,female
urban_2014,1.0,2090,-0.05514354066985646,0.004384559830739395,-0.06329769736842106,-0.046112190988835726,0.529665071770335,0.3129186602870813,0.15741626794258373,female
