cohort,n,mean_female,mean_male,F_minus_M
1930-1949,15052,0.4664,0.4547,0.0117
1950-1959,17025,0.4671,0.465,0.0021
1960-1969,18023,0.4521,0.4583,-0.0062
1970-1979,15571,0.4045,0.4328,-0.0283
1980-1989,12235,0.3419,0.413,-0.071
1990-2005,7700,0.2529,0.3729,-0.12
