frame,outcome,stratum,n_hi,n_lo,diff,t,p,d
2014_cross,currently_married,all,9890,13513,0.12310628188097639,23.414575478768157,7.445756282901247e-120,0.29960833406158643
2014_cross,currently_married,male,4508,6983,0.11316235613908843,15.09497870681481,5.70991767924708e-51,0.27589589869869297
2014_cross,currently_married,female,5382,6530,0.13372497400728312,18.04469483370588,7.856555738716644e-72,0.324983910831029
2014_cross,first_marriage_age,all,423,571,-0.5534440428430081,-2.125345364548945,0.03383627502545023,-0.13754864030646452
2014_cross,first_marriage_age,male,210,292,-0.10675146771037447,-0.27840153743937246,0.780831121639188,-0.025146254830963246
2014_cross,first_marriage_age,female,213,279,-0.950880912716439,-2.8958253009914294,0.003975291746523116,-0.2674610492718492
2014_cross,ideal_children,all,9851,13452,0.22223902275332752,21.300159135692045,1.827763633710457e-99,0.29229592206623717
2014_cross,ideal_children,male,4488,6946,0.19149430313705973,12.663209458803548,2.1378910947837047e-36,0.2559621680993919
2014_cross,ideal_children,female,5363,6506,0.2465608274844222,17.016141836597022,4.5996847251773325e-64,0.3196678357551443
2014_cross,housework_hours,all,9866,13491,0.4958943445309989,18.86803579304835,1.091371024291452e-78,0.2565634496047788
2014_cross,housework_hours,male,4502,6973,0.14388047685102312,4.1981975993196965,2.717968515755136e-05,0.0831246845809939
2014_cross,housework_hours,female,5364,6518,0.6918601651275345,19.05265719977488,1.231811223103773e-79,0.3550698324685768
2020_cross,currently_married,all,6980,10524,0.17870965423281382,28.842375518985325,1.0809152756524573e-178,0.4207162399673408
2020_cross,currently_married,male,3460,5096,0.18119005272184463,20.128443071478664,4.736861412538241e-88,0.42150373419837484
2020_cross,currently_married,female,3520,5428,0.1767738410263282,20.731591101411343,2.9684346605154514e-93,0.4212369322848212
2020_cross,first_marriage_age,all,91,220,-1.3262237762237739,-2.638308235521689,0.009189681231162736,-0.34316514599869224
2020_cross,first_marriage_age,male,50,125,-1.1360000000000028,-1.763532804709691,0.08108711804948707,-0.2907566660403786
2020_cross,first_marriage_age,female,41,95,-1.546598202824132,-1.9478272310058682,0.056036905866523885,-0.4044556259647944
2020_cross,housework_hours,all,5766,6784,0.6593837891200207,17.0056506079944,4.775265050628112e-64,0.30947623582927186
2020_cross,housework_hours,male,2796,3367,0.4170788130015599,7.767219513456943,9.536025915217503e-15,0.20233295977635843
2020_cross,housework_hours,female,2970,3417,0.8707162641929989,16.46776182385731,1.3612472800342504e-59,0.4180632370198447
lagged_2014to2020,currently_married_2020,all,4937,7128,-0.09820250305362721,-21.056808295288768,1.4310777039577368e-96,-0.3506462749292614
lagged_2014to2020,currently_married_2020,male,2203,3722,-0.08408054767776732,-11.317502142364363,2.165115006233802e-29,-0.27452968593559324
lagged_2014to2020,currently_married_2020,female,2734,3406,-0.10690974789100176,-18.087627066856555,1.534338365291987e-70,-0.42538274495098255
lagged_2014to2020,housework_2020,all,4076,4985,0.4343326003525787,9.248179120059865,2.8468572468256507e-20,0.1967206898443124
lagged_2014to2020,housework_2020,male,1792,2669,0.2476557272988813,3.750542574220586,0.000179200784114172,0.1162944071339648
lagged_2014to2020,housework_2020,female,2284,2316,0.4167076516368282,6.530103736596617,7.287955172722719e-11,0.19264312359743022
