dataset,year,our_index_mean
ACWF,1990,0.4438
ACWF,2000,0.3588
ACWF,2010,0.4493
CFPS,2014,0.5982
CFPS,2020,0.5348
CGSS,2010,0.4457
CGSS,2012,0.4458
CGSS,2013,0.4494
CGSS,2015,0.4473
CGSS,2017,0.4208
CGSS,2018,0.4122
CGSS,2023,0.3777
CGSS,2021,0.3946
