stratum,n_treated,n_control,att,boot_se,p,ci_lo,ci_hi,n_boot
all,290,230,-0.36551724137931035,0.22548107549402688,0.10500582795106626,-0.7802380952380953,0.07995453394276336,300
male,175,110,-0.011428571428571429,0.2658881882491155,0.9657153868687346,-0.5069846635051962,0.46146826852531125,300
female,115,120,-0.6434782608695652,0.3528971548765265,0.06824043355277064,-1.33481410606889,0.07471654838151252,300
