stratum,n_treated,n_control,att,boot_se,p,ci_lo,ci_hi,n_boot
all,1125,1456,-0.0424,0.1404919191711571,0.7628070335494834,-0.2493570738384733,0.2932620399266932,300
male,714,928,0.07394957983193277,0.16594061648880706,0.6558581673062112,-0.3234947831153011,0.3606553755522822,300
female,411,528,0.11386861313868615,0.22549837671006295,0.6135839629421063,-0.4421936607486259,0.4254620303756988,300
