term,coef,se,t,p
const,25.4681,0.0675,377.19,0.0
ideation,-1.7675,0.1205,-14.67,0.0
female,-1.4309,0.0756,-18.92,0.0
ideation_x_female,-1.3434,0.1594,-8.43,0.0
decade_c,0.0699,0.0097,7.23,0.0
