wave,outcome,stratum,n,term,coef,se,t,p
2020,marriage_sat,female,335,parent_avg_edu,-0.03046,0.01808,-1.684,0.09307
2020,marriage_sat,female,335,parent_log_income,0.00221,0.05684,0.039,0.96896
2020,employed,all,1524,const,1.06749,0.19047,5.604,0.0
2020,employed,all,1524,mother_ideation,0.06615,0.05991,1.104,0.2697
2020,employed,all,1524,father_ideation,0.14513,0.05775,2.513,0.01208
2020,employed,all,1524,child_female,-0.02277,0.09444,-0.241,0.80952
2020,employed,all,1524,age_c,0.03068,0.02852,1.076,0.28217
2020,employed,all,1524,age_c2,-0.05808,0.01667,-3.484,0.00051
2020,employed,all,1524,urban,0.02123,0.02082,1.02,0.30807
2020,employed,all,1524,parent_avg_age,-0.00257,0.00255,-1.01,0.31249
2020,employed,all,1524,parent_avg_edu,0.00436,0.00304,1.435,0.15145
2020,employed,all,1524,parent_log_income,-0.0103,0.00896,-1.15,0.25051
2020,employed,all,1524,mother_id_x_female,-0.18205,0.11232,-1.621,0.10526
2020,employed,all,1524,father_id_x_female,-0.06325,0.11906,-0.531,0.59534
2020,employed,male,888,const,1.18,0.18024,6.547,0.0
2020,employed,male,888,mother_ideation,0.00939,0.05934,0.158,0.87435
2020,employed,male,888,father_ideation,0.12401,0.05717,2.169,0.03033
2020,employed,male,888,age_c,0.04655,0.0284,1.639,0.10163
2020,employed,male,888,age_c2,-0.07169,0.01759,-4.075,5e-05
2020,employed,male,888,urban,-0.03629,0.0223,-1.627,0.10404
2020,employed,male,888,parent_avg_age,-0.00355,0.00266,-1.334,0.18262
2020,employed,male,888,parent_avg_edu,-0.00015,0.00261,-0.057,0.95483
2020,employed,male,888,parent_log_income,-0.00454,0.00688,-0.66,0.50912
2020,employed,female,636,const,0.78416,0.40369,1.942,0.05253
2020,employed,female,636,mother_ideation,-0.04015,0.10227,-0.393,0.69475
2020,employed,female,636,father_ideation,0.11915,0.1058,1.126,0.26053
2020,employed,female,636,age_c,-0.02929,0.08231,-0.356,0.72211
2020,employed,female,636,age_c2,-0.04977,0.04498,-1.106,0.26895
2020,employed,female,636,urban,0.0994,0.03726,2.668,0.00784
