wave,outcome,parent,parent_id_tertile,child,n,mean,sd
2020,currently_married,mother,low,daughter,901,0.3596,0.4801
2020,currently_married,mother,low,son,1262,0.4279,0.495
2020,currently_married,mother,mid,daughter,1067,0.4836,0.5
2020,currently_married,mother,mid,son,1802,0.5666,0.4957
2020,currently_married,mother,high,daughter,174,0.4368,0.4974
2020,currently_married,mother,high,son,269,0.5167,0.5007
2020,currently_married,father,low,daughter,743,0.3795,0.4856
2020,currently_married,father,low,son,1012,0.4407,0.4967
2020,currently_married,father,mid,daughter,696,0.4296,0.4954
2020,currently_married,father,mid,son,1157,0.5022,0.5002
2020,currently_married,father,high,daughter,532,0.5019,0.5005
2020,currently_married,father,high,son,908,0.5231,0.4997
2020,housework_hours,mother,low,daughter,441,1.4213,1.2846
2020,housework_hours,mother,low,son,700,1.2413,1.6599
2020,housework_hours,mother,mid,daughter,588,1.7155,1.4817
2020,housework_hours,mother,mid,son,1134,1.3465,1.7438
2020,housework_hours,mother,high,daughter,91,2.033,2.2838
2020,housework_hours,mother,high,son,176,1.0528,1.2818
2020,housework_hours,father,low,daughter,353,1.5184,1.4578
2020,housework_hours,father,low,son,554,1.1724,1.4857
2020,housework_hours,father,mid,daughter,365,1.6329,1.5154
2020,housework_hours,father,mid,son,704,1.2179,1.6536
2020,housework_hours,father,high,daughter,294,1.9568,1.7258
2020,housework_hours,father,high,son,559,1.3631,1.7266
2020,marriage_sat,mother,low,daughter,327,4.2263,0.9387
2020,marriage_sat,mother,low,son,545,4.5963,0.7441
2020,marriage_sat,mother,mid,daughter,520,4.2404,0.9027
2020,marriage_sat,mother,mid,son,1025,4.6254,0.7449
2020,marriage_sat,mother,high,daughter,77,4.1429,1.1322
2020,marriage_sat,mother,high,son,141,4.6879,0.688
2020,marriage_sat,father,low,daughter,283,4.159,1.0068
2020,marriage_sat,father,low,son,447,4.6644,0.6691
2020,marriage_sat,father,mid,daughter,301,4.2392,0.9395
2020,marriage_sat,father,mid,son,585,4.6,0.7522
2020,marriage_sat,father,high,daughter,271,4.2251,0.9492
2020,marriage_sat,father,high,son,475,4.6968,0.6662
2020,employed,mother,low,daughter,592,0.7568,0.4294
2020,employed,mother,low,son,960,0.9281,0.2584
2020,employed,mother,mid,daughter,824,0.7427,0.4374
2020,employed,mother,mid,son,1561,0.9436,0.2307
2020,employed,mother,high,daughter,121,0.7603,0.4287
2020,employed,mother,high,son,228,0.9474,0.2238
2020,employed,father,low,daughter,506,0.7628,0.4258
2020,employed,father,low,son,792,0.9318,0.2522
2020,employed,father,mid,daughter,502,0.753,0.4317
2020,employed,father,mid,son,960,0.9302,0.2549
2020,employed,father,high,daughter,418,0.7177,0.4507
2020,employed,father,high,son,775,0.9458,0.2265
2020,log_wage_year,mother,low,daughter,397,10.396,1.3242
2020,log_wage_year,mother,low,son,720,10.4831,1.5481
2020,log_wage_year,mother,mid,daughter,512,10.1455,1.9366
2020,log_wage_year,mother,mid,son,1133,10.5421,1.4407
2020,log_wage_year,mother,high,daughter,81,10.2851,1.0497
2020,log_wage_year,mother,high,son,168,10.4415,2.0198
2020,log_wage_year,father,low,daughter,445,10.2987,1.6834
2020,log_wage_year,father,low,son,796,10.5336,1.6188
2020,log_wage_year,father,mid,daughter,217,10.3249,1.6261
2020,log_wage_year,father,mid,son,503,10.4745,1.6161
2020,log_wage_year,father,high,daughter,252,9.9598,1.9647
2020,log_wage_year,father,high,son,549,10.4761,1.4168
2020,mgmt,mother,low,daughter,382,0.1073,0.3099
2020,mgmt,mother,low,son,656,0.1738,0.3792
2020,mgmt,mother,mid,daughter,486,0.1111,0.3146
2020,mgmt,mother,mid,son,1022,0.1585,0.3654
2020,mgmt,mother,high,daughter,77,0.0909,0.2894
2020,mgmt,mother,high,son,150,0.2,0.4013
2020,mgmt,father,low,daughter,430,0.1023,0.3034
2020,mgmt,father,low,son,732,0.179,0.3836
2020,mgmt,father,mid,daughter,209,0.1005,0.3014
2020,mgmt,father,mid,son,459,0.1808,0.3853
2020,mgmt,father,high,daughter,238,0.0882,0.2842
2020,mgmt,father,high,son,487,0.1355,0.3426
2020,isei,mother,low,daughter,441,48.0884,15.5893
2020,isei,mother,low,son,875,41.1989,15.5724
2020,isei,mother,mid,daughter,599,47.5676,15.2728
2020,isei,mother,mid,son,1439,39.0528,15.4024
2020,isei,mother,high,daughter,91,46.6703,15.1878
2020,isei,mother,high,son,213,38.2676,14.4786
2020,isei,father,low,daughter,500,49.862,15.1418
2020,isei,father,low,son,972,41.9506,15.7254
2020,isei,father,mid,daughter,255,46.9373,16.2225
2020,isei,father,mid,son,630,39.2127,15.7753
2020,isei,father,high,daughter,294,45.2211,15.128
2020,isei,father,high,son,711,38.4501,15.242
2020,edu_yrs,mother,low,daughter,899,12.9878,3.1356
2020,edu_yrs,mother,low,son,1255,12.0558,3.2762
2020,edu_yrs,mother,mid,daughter,1065,12.3305,3.2921
2020,edu_yrs,mother,mid,son,1788,11.2729,3.3046
2020,edu_yrs,mother,high,daughter,174,12.977,2.9912
2020,edu_yrs,mother,high,son,268,11.4366,3.4888
2020,edu_yrs,father,low,daughter,743,13.074,3.1044
2020,edu_yrs,father,low,son,1006,12.169,3.3046
2020,edu_yrs,father,mid,daughter,695,12.636,3.1378
2020,edu_yrs,father,mid,son,1150,11.6296,3.3905
2020,edu_yrs,father,high,daughter,532,12.0526,3.4199
2020,edu_yrs,father,high,son,902,10.9867,3.4069
