frame,outcome,stratum,ideation_tertile,n,mean,sd
2020_cross,mgmt,male,high,1163,0.123,0.3285
2020_cross,mgmt,female,low,2215,0.1138,0.3176
2020_cross,mgmt,female,mid,588,0.0918,0.289
2020_cross,mgmt,female,high,548,0.0639,0.2447
2020_cross,promotion,all,low,4700,0.1277,0.3337
2020_cross,promotion,all,mid,1799,0.0928,0.2903
2020_cross,promotion,all,high,1709,0.0772,0.267
2020_cross,promotion,male,low,2487,0.1371,0.344
2020_cross,promotion,male,mid,1211,0.1057,0.3076
2020_cross,promotion,male,high,1162,0.0955,0.2941
2020_cross,promotion,female,low,2213,0.117,0.3215
2020_cross,promotion,female,mid,588,0.0663,0.2491
2020_cross,promotion,female,high,547,0.0384,0.1923
2020_cross,has_sub,all,low,5486,0.1679,0.3738
2020_cross,has_sub,all,mid,2184,0.1639,0.3703
2020_cross,has_sub,all,high,2177,0.1415,0.3486
2020_cross,has_sub,male,low,2887,0.2051,0.4038
2020_cross,has_sub,male,mid,1455,0.1973,0.3981
2020_cross,has_sub,male,high,1473,0.1738,0.3791
2020_cross,has_sub,female,low,2599,0.1266,0.3326
2020_cross,has_sub,female,mid,729,0.0974,0.2967
2020_cross,has_sub,female,high,704,0.0739,0.2617
2020_cross,bianzhi,all,low,1486,0.5135,0.5
2020_cross,bianzhi,all,mid,465,0.4731,0.4998
2020_cross,bianzhi,all,high,390,0.3615,0.4811
2020_cross,bianzhi,male,low,752,0.5332,0.4992
2020_cross,bianzhi,male,mid,328,0.5091,0.5007
2020_cross,bianzhi,male,high,299,0.4047,0.4917
2020_cross,bianzhi,female,low,734,0.4932,0.5003
2020_cross,bianzhi,female,mid,137,0.3869,0.4888
2020_cross,bianzhi,female,high,91,0.2198,0.4164
2020_cross,isei,all,low,7238,39.9239,16.5001
2020_cross,isei,all,mid,3712,33.75,14.4146
2020_cross,isei,all,high,5044,29.3428,11.4361
2020_cross,isei,male,low,3854,38.2714,16.2167
2020_cross,isei,male,mid,2249,34.6398,14.6431
2020_cross,isei,male,high,2816,31.0799,12.6316
2020_cross,isei,female,low,3384,41.8059,16.6204
2020_cross,isei,female,mid,1463,32.3821,13.9507
2020_cross,isei,female,high,2228,27.1472,9.2648
panel_2014_baseline,employed_2020,all,low,5802,0.9838,0.1263
panel_2014_baseline,employed_2020,all,mid,3217,0.9916,0.0912
panel_2014_baseline,employed_2020,all,high,3886,0.9892,0.1034
panel_2014_baseline,employed_2020,male,low,3238,0.9886,0.1063
panel_2014_baseline,employed_2020,male,mid,1710,0.9953,0.0683
panel_2014_baseline,employed_2020,male,high,1953,0.9913,0.0929
panel_2014_baseline,employed_2020,female,low,2564,0.9778,0.1475
panel_2014_baseline,employed_2020,female,mid,1507,0.9874,0.1116
panel_2014_baseline,employed_2020,female,high,1933,0.9871,0.113
panel_2014_baseline,log_wage_month_2020,all,low,2980,8.0567,1.2679
panel_2014_baseline,log_wage_month_2020,all,mid,1170,7.8789,1.5201
panel_2014_baseline,log_wage_month_2020,all,high,1104,7.8791,1.4274
panel_2014_baseline,log_wage_month_2020,male,low,1676,8.1898,1.2162
panel_2014_baseline,log_wage_month_2020,male,mid,710,8.1166,1.3338
panel_2014_baseline,log_wage_month_2020,male,high,667,8.1645,1.1363
panel_2014_baseline,log_wage_month_2020,female,low,1304,7.8855,1.3122
panel_2014_baseline,log_wage_month_2020,female,mid,460,7.5121,1.7073
panel_2014_baseline,log_wage_month_2020,female,high,437,7.4434,1.6932
panel_2014_baseline,log_wage_year_2020,all,low,3442,10.2863,1.6829
panel_2014_baseline,log_wage_year_2020,all,mid,1462,10.0211,1.8906
panel_2014_baseline,log_wage_year_2020,all,high,1474,9.9609,1.708
panel_2014_baseline,log_wage_year_2020,male,low,1993,10.4067,1.6161
panel_2014_baseline,log_wage_year_2020,male,mid,900,10.2614,1.7531
panel_2014_baseline,log_wage_year_2020,male,high,899,10.2401,1.5768
panel_2014_baseline,log_wage_year_2020,female,low,1449,10.1208,1.7578
panel_2014_baseline,log_wage_year_2020,female,mid,562,9.6364,2.0352
panel_2014_baseline,log_wage_year_2020,female,high,575,9.5243,1.812
panel_2014_baseline,mgmt_2020,all,low,3027,0.1308,0.3373
panel_2014_baseline,mgmt_2020,all,mid,1200,0.1217,0.327
panel_2014_baseline,mgmt_2020,all,high,1150,0.0957,0.2942
panel_2014_baseline,mgmt_2020,male,low,1705,0.1607,0.3674
panel_2014_baseline,mgmt_2020,male,mid,729,0.155,0.3622
panel_2014_baseline,mgmt_2020,male,high,687,0.1208,0.3261
panel_2014_baseline,mgmt_2020,female,low,1322,0.0923,0.2895
panel_2014_baseline,mgmt_2020,female,mid,471,0.0701,0.2555
panel_2014_baseline,mgmt_2020,female,high,463,0.0583,0.2346
panel_2014_baseline,promotion_2020,all,low,3026,0.1094,0.3122
panel_2014_baseline,promotion_2020,all,mid,1199,0.0851,0.2791
panel_2014_baseline,promotion_2020,all,high,1147,0.0663,0.2488
panel_2014_baseline,promotion_2020,male,low,1704,0.118,0.3227
panel_2014_baseline,promotion_2020,male,mid,729,0.1029,0.304
panel_2014_baseline,promotion_2020,male,high,685,0.0832,0.2764
panel_2014_baseline,promotion_2020,female,low,1322,0.0983,0.2979
panel_2014_baseline,promotion_2020,female,mid,470,0.0574,0.2329
panel_2014_baseline,promotion_2020,female,high,462,0.0411,0.1988
panel_2014_baseline,has_sub_2020,all,low,3603,0.1551,0.3621
panel_2014_baseline,has_sub_2020,all,mid,1490,0.149,0.3562
panel_2014_baseline,has_sub_2020,all,high,1475,0.1308,0.3373
panel_2014_baseline,has_sub_2020,male,low,2041,0.1832,0.387
panel_2014_baseline,has_sub_2020,male,mid,890,0.191,0.3933
panel_2014_baseline,has_sub_2020,male,high,864,0.1759,0.381
panel_2014_baseline,has_sub_2020,female,low,1562,0.1184,0.3232
panel_2014_baseline,has_sub_2020,female,mid,600,0.0867,0.2816
panel_2014_baseline,has_sub_2020,female,high,611,0.0671,0.2504
panel_2014_baseline,bianzhi_2020,all,low,965,0.5088,0.5002
panel_2014_baseline,bianzhi_2020,all,mid,325,0.4831,0.5005
panel_2014_baseline,bianzhi_2020,all,high,281,0.3843,0.4873
panel_2014_baseline,bianzhi_2020,male,low,511,0.546,0.4984
panel_2014_baseline,bianzhi_2020,male,mid,224,0.4911,0.501
panel_2014_baseline,bianzhi_2020,male,high,188,0.4096,0.4931
panel_2014_baseline,bianzhi_2020,female,low,454,0.467,0.4995
panel_2014_baseline,bianzhi_2020,female,mid,101,0.4653,0.5013
panel_2014_baseline,bianzhi_2020,female,high,93,0.3333,0.474
panel_2014_baseline,isei_2020,all,low,5346,37.4592,16.329
panel_2014_baseline,isei_2020,all,mid,2960,32.1145,13.9729
panel_2014_baseline,isei_2020,all,high,3533,29.5075,11.6068
panel_2014_baseline,isei_2020,male,low,3013,36.1523,15.7198
panel_2014_baseline,isei_2020,male,mid,1586,33.1967,14.4293
panel_2014_baseline,isei_2020,male,high,1781,30.7423,12.5351
panel_2014_baseline,isei_2020,female,low,2333,39.147,16.9385
panel_2014_baseline,isei_2020,female,mid,1374,30.8654,13.3231
panel_2014_baseline,isei_2020,female,high,1752,28.2523,10.4349
