term,coef,se_classical,t_classical,p_classical,se_hc1,t_hc1,p_hc1
const,0.84026,0.09906,8.48241,0.00000,0.10919,7.69544,0.00000
female,-0.14046,0.02090,-6.72099,0.00000,0.02009,-6.99107,0.00000
urban,-0.03279,0.02291,-1.43142,0.15352,0.02433,-1.34793,0.17887
isei_aspiration,-0.00095,0.00062,-1.52500,0.12849,0.00062,-1.52055,0.12960
edu_aspiration,-0.01696,0.00630,-2.69029,0.00761,0.00718,-2.36165,0.01894
